example_id,conversation_root,message_count,conversation,support_type,intent,escalation,notes
15,181938,6,"1. @158760 We're very sorry for the wait. We want to get you on your way as soon as possible.
2. @AmericanAir 🤥
3. @AmericanAir Now we’re all sitting at LAX waiting for our gate. It’s been almost an hour. 5hr trip turned into a 10+.
4. @AmericanAir 🤦🏻‍♂️
5. @158760 We'll do all possible to make up most of the lost time while we're in the air. Thanks for your patience, Myles
6. I really hope @AmericanAir will comp the passengers on flight AA 275 from MIA to LAX for a delay on cargo’s fault. #delay",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
16,340262,17,"1. @197263 We don't have rental car assistance here. We're sorry to hear of your frustration with the accommodations provided.
2. @AmericanAir Now because “it was weather related” I did not receive a hotel voucher.
3. @197263 When delays are out of our control, we're not able to provide hotels. Please DM your record locator if you need rebooking.
4. @AmericanAir I recognize that weather delays are out of your control but giving up my seat because “I wasn’t supposed to make it” is in your control.
5. @AmericanAir I did make it on time, just to be informed that my seat had already been reassigned because “Mr. Raley you weren’t supposed to make it.”
6. @AmericanAir And no I do not want to DM you about it. I will call customer services and do whatever it takes to get a reimbursement for the hotel...
7. @AmericanAir I had to pay for our of pocket last night due to this entire issue.
8. @197263 Our apologies, it’s not always operationally possible to hold flights. Our team will have you to your destination as soon as possible.
9. @AmericanAir The flight didnt need to be held. My seat did, the “department in control” of changing flights switched my flight without giving me a chance
10. @197263 We know it's frustrating to miss your flight. To ensure an on time departure our gate team can give seats to those waiting 15 minutes before
11. @AmericanAir That’s weird because last night everyone was telling me 10 minutes. Maybe everyone needs a refresher on the rules. I made the flight...
12. @AmericanAir Still had no seat, it had been given away because “I wasn’t supposed to make it.” There needs 2 b a policy change because some can “make it”
13. @197263 Seats can be reassigned 15 minutes before. Our gate agents must have all customers in their seats 10 minutes before so doors are closed.
14. @AmericanAir Frustrated that I ran through the airport go 2 the gate n time 2 find out my seat had been given away because “I wasn’t supposed 2 make it”
15. @AmericanAir @197263 First off #AAteam the word you're looking for is ""Sorry""
Second, this is AA tactic, take your cash then sell your seat, double money.
16. @AmericanAir @197263 You don't get kickbacks from rentals too? What kind of crooked business is this? You could be skimming so much more from customers.
17. @AmericanAir I don’t understand why you’re willing to put me in a hotel tonight but not willing to get me a rental car. #worstever",SUPPORT,Seats & Upgrades,ESCALATE,Support issue likely requires case-specific or human handling.
17,321824,2,"1. @192668 We want each day to have a great start. Feel free to speak with an attendant and they'll be happy to accommodate your request.
2. @AmericanAir seriously the flight attendants on this flight won’t stop talking. Pilot legit came on at 530am and said bc it’s so early no announcements. Awesome. Attendants wouldn’t stop talking. People trying to sleep but to no avail. Can’t wait to go back to @Delta",SUPPORT,Other / General Support,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
18,228043,3,"1. @170374 We're working on our carbon footprint. Check out the following with some great information. https://t.co/pLPtpavkpL
2. @AmericanAir recycling a material which will last forever is a problem! #banplasticcups
3. @AmericanAir @3894 all you beautiful airlines out there: PLEASE CUT YOUR PLASTIC BUDGET! give each person only 1 or ban it totally!",SUPPORT,Other / General Support,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
19,224147,5,"1. @169560 Thanks for letting us know and have a wonderful trip!
2. @AmericanAir Thanks for the reply!  The entire flight team has been amazing in this delay.
3. @169560 Way to go Dawood! We'd love to share this with his managers. Please DM your record locator and we'll send it right over. #AATeam
4. @AmericanAir @AmericanAir note this - keep this guy happy.  He was still helpful and smiling after dealing with some mouthy passengers.  So so sweet!
5. @AmericanAir is my go-to airline every time.  Mr. Dawood in Chi helped me so much during a 5 hr delay - above and beyond!  EP for life!",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
20,497911,2,"1. @175631 We're sorry you didn't get your beverage. We'll notify our team about this.
2. @AmericanAir Another day, another flight with no PDB",SUPPORT,Onboard Services,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
21,299185,4,"1. @187317 Woohoo! We're excited!
2. @AmericanAir Lol should have said 'see you AGAIN soon'. Good times today!
3. @187317 We'll see you again soon! Have a fantastic afternoon.
4. Great afternoon rocking the @AmericanAir employee appreciation party on behalf of @118818! See you soon AA! #DJ #DJEJ #DJlife",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
22,223227,2,"1. @169316 It appears to be a bit of condensation there, Jeremy. Ask our crew members for a possible seat change.
2. @AmericanAir This is how they fixed it. #unacceptable Flight from Miami to GRU Brazil. https://t.co/RcNuHzVFcO",SUPPORT,Seats & Upgrades,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
23,417327,4,"1. @214575 That's fantastic and we appreciate your positive feedback of our crew on board. #AATeam
2. @AmericanAir Just touched down at JFK, crew on the flight were great!
3. @214575 We've had a bit of bad weather and now there's Air Traffic Control delays. Days like today can be a bit of a challenge for all of us.
4. @AmericanAir hey, we are sitting on the runway in RDU, departure scheduled for 5:10, still don't know when we are leaving &amp; it's 9:27 pm",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
24,272520,3,"1. @175631 We want to keep you connected up in the air. Please share your feedback with our friends @116462.
2. @AmericanAir @116462 It's terrible ^
3. @americanair It's like I'm back with 56k modem...why is the wifi so terrible on every flight? #cantevencheckemail #whatamipayingfor #gogo",SUPPORT,Onboard Services,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
25,459179,2,"1. @224062 We value your feedback, Jay. We'll pass your comments to our team.
2. Why would @AmericanAir waste money on reconfiguring narrow body planes that have IFE to not have IFE? Seems like an active approach to reduce passenger experience for no apparent reason besides consistency...",SUPPORT,Onboard Services,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
26,267874,2,"1. @179873 We have some of the best crew in the business. We're sorry to hear that happened. Our apologies.
2. @AmericanAir flight 2646 staff is extremely rude.",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
27,390539,3,"1. @208459 We see our Customer Relations team has been in contact with you and have reviewed your concerns.
2. @AmericanAir Speaking to me via script  And blatantly telling me that my concerns are not important  or can be quantified.  lack of customer service.
3. @AmericanAir I tried to be professional regarding my ordeal at LGA where I was screamed at and was rude to by your staff.",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
28,345521,2,"1. @198224 Aw, we're happy to give you and your little one a lift any time. We'll see you soon!
2. @AmericanAir it was a bumpy ride, but thanks for helping us escape #HurricaneNate safely! https://t.co/WNsQUhvR7n",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
29,210659,4,"1. @165851 This was divided on the 30th at the airport, please meet us in DM so we may go over this with you further.
2. @AmericanAir Not going to happen if you keep split our record.
3. @165851 Since you're automatically upgraded, when you have a companion with you the reservation has to be split out. You can opt out of upgrading.
4. @AmericanAir they say it can only be done at airport. This has been happening the last 2 months. Not happy. Who can fix this. atairport 2 l8",SUPPORT,Seats & Upgrades,ESCALATE,Support issue likely requires case-specific or human handling.
30,456924,3,"1. @223474 We're working diligently to get all our customers to their destinations for the holidays. Our team is fully expecting our flights to operate
2. @AmericanAir News outlets said it would be thousands of flights being cancelled. Just trying to understand if we will know more than a week prior.
3. @AmericanAir when will I know if our flight is cancelled for Christmas?",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
31,464529,2,"1. @225459 We're glad to take a look. Please DM your record locator and details.
2. @AmericanAir spent 2.5 hours on hold today and still I never spoke to anyone...halp?",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
32,475784,2,"1. @228106 Those are some good looking wings if we do say so ourselves! Thanks for the #AmericanView
2. A very American #wingfriday today with @AmericanAir . #travel #avgeek #boeing737 https://t.co/DO5KQYbqGT",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
33,481255,2,"1. @229391 We can take a look at this, John. DM your record locator, date of birth and KTN number.
2. Hey @AmericanAir why do you somehow lose my TSA precheck number during online check-in? Entered correctly days ahead. Confirmed it's in the ticket when checking in. Click to get passes; NO PRECHECK. Happens way too often. #fixit #please",SUPPORT,Check-in & Airport,ESCALATE,Support issue likely requires case-specific or human handling.
34,370694,2,"1. @203790 We had such a wonderful time welcoming Adriana on board and it's our pleasure to be flying her to Disney!
2. Adriana, a 6-yr-old with a kidney disease, was greeted by our friends at @60022 &amp; @AmericanAir when she wished to go to Disney. ✨ https://t.co/gnbqmz6Qum",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
35,407198,4,"1. @178563 We have your DM and we'll answer you there, Leigh.
2. @AmericanAir The email I received was cold and told me that no further research would be done. @Delta has never treated me so poorly.
3. @178563 We'd rather keep you flying with us and our offer still stands if you'd like our assistance. Please meet us in DMs with more info.
4. PSA: never fly @AmericanAir . Their customer service will just lie to you. This road warrior will spend on @Delta .",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
36,105515,3,"1. @139321 Kevin, we're glad to see you made your connection to your final destination. We're almost done boarding and should be pushing back soon.
2. @AmericanAir Except there was only OJ and water for refreshment.  Are you trying to be United on purpose or just being shitty for the holiday?
3. @AmericanAir I’d like to not miss my connecting flight because you can’t get your ground operations in order.  WTF is going on at DFW",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
37,89872,5,"1. @128175 We're sorry for the inconvenience, Adam. Weights and balances are important to our pilots during flight.
2. @AmericanAir Understand that safety is most important. Just to remove all you're premium flyers with no compensation isn't a great customer service move.
3. @128175 Once the plane is in the air and at cruising altitude, ask the crew if you can move. You may be asked to move back upon landing.
4. @AmericanAir Not an option.
5. @AmericanAir Not a good start to the day. 1484 weight restricted and the rows they close off are all the MCE.",SUPPORT,Seats & Upgrades,ESCALATE,Support issue likely requires case-specific or human handling.
38,363809,3,"1. @202220 What's going on, Skylar? Please DM your record locator or ticket number along with a few details regarding your refund request.
2. @AmericanAir Done. Thanks for your help with this.
3. I'm having no luck receiving a refund from @AmericanAir. I will not be flying with them in the future, and I urge others not to, as well. https://t.co/WxIj2DM92S",SUPPORT,Refund & Compensation,ESCALATE,Support issue likely requires case-specific or human handling.
39,229299,6,"1. @170686 Schedule changes can happen at anytime, Joe, but we do notify you of them and if adjustments need to be made, we're here to help.
2. @AmericanAir Well it totally messes us meeting up with the other guys for our bachelor party and really messes up our flights home
3. @170686 We'd be happy to look at options with you. Please meet us in DM or give our team a call via 800-433-7300.
4. @AmericanAir Can I cancel without penalty since these aren’t the times or dates I booked?
5. @170686 If your flights have been changed by more than 61 min, then yes, you can cancel and request a full refund here: https://t.co/xM8Vkc7BvM
6. @AmericanAir how can you completely change my flight times and days without even asking me?",SUPPORT,Refund & Compensation,ESCALATE,Support issue likely requires case-specific or human handling.
40,125486,2,"1. @140501 You can always contact Reservations at 800-433-7300 for info on prices.
2. @AmericanAir Right now flights from Memphis to Omaha are a bit pricey. Should they drop before Mar? My concert isn't until mar 8th.",SUPPORT,Booking & Payment,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
41,251477,2,"1. @175798 Could you provide additional details via DM? We see that AV flight in your itinerary and an agent should be arriving shortly to assist.
2. @AmericanAir ... tonight. There are no agents and I have no ticket since i was transferred to an avianca flight that we couldn’t board. HELP",SUPPORT,Booking & Payment,ESCALATE,Support issue likely requires case-specific or human handling.
42,540470,6,"1. @245387 Have you filed a claim with our bag team at the airport? If so please DM the file number.
2. @AmericanAir Sent . Your customer service asked me if I am sure I flew in on American Airlines last night. Should try hiring better employees
3. @AmericanAir For any type of reimbursement for cab fare picking up your bags, you'll need to contact our Baggage Service office. We're unable to compensate for that here. This is the responses I have been getting for 2 days. This is #notmyjob
4. @245387 We're unable to reimburse for cab fare, Michael. Our Baggage Services offer delivery services. We're sorry it wasn't to your convenience.
5. @AmericanAir 18 hours after the flight is your delivery services and that’s acceptable . You have proven yourself as a Joke of an airline #boycottamericanair #americanairsucks
6. Don’t ever fly @AmericanAir  #bums can’t even load your bags on your flight. And worst customer service known to mankind. Boycott @AmericanAir",SUPPORT,Baggage,ESCALATE,Support issue likely requires case-specific or human handling.
43,408184,2,"1. @212286 Oh no. Please have your parents speak to an airport team member who will be happy to take a look at their booking.
2. @AmericanAir Parents on DL420 delayed for JFK flow and will miss AA236 to FCO. Can you help?",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
44,150836,2,"1. @142988 We appreciate you saying that, but more importantly we appreciate you flying with us. Have a fantastic day and weekend!
2. @AmericanAir another great travel day.  You guys don’t get the credit you deserve!",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
45,492638,3,"1. @232439 We'll get you to your brother for the holidays! We're not expecting any cancellations.
2. @AmericanAir Promise me
3. @AmericanAir please tell me I get to see my brother over the break",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
46,452255,15,"1. @222275 Our team has to be ready the moment they get the okay to depart. Beverage service will be provided once at cruising altitude.
2. @AmericanAir What’s the excuse for not providing water while they were waiting to refuel?
3. @AmericanAir So what was the excuse while they were parked at the gate getting the brakes repaired? Why weren’t they given water?
4. @AmericanAir They were supposed to take off at 1:20 (delayed so boarded at 2:15) for a 4 hr 58 min flight.
5. @222275 Customers needing any special assistance while parked at the gate are welcome to reach out to a crew member.
6. @AmericanAir And yes I’m aware there’s a difference between the tarmac and the gate but you’re still holding people hostage on a plane with no access to water for over two hours.
7. @222275 The guidelines you've posted don't apply in this situation. If your mom needs some extra assistance, please send a DM our way.
8. @AmericanAir As I said, I know they do not apply but I’m asking if you think it’s ok as a company to keep people sitting there for over two hours without giving them water?
9. @222275 We see that they're #wheelsup now and as soon as possible, we'll serve drinks.
10. @AmericanAir It doesn’t matter because they finally pushed but with the holiday travel season you might want to make sure you provide water to those on board for excessive delays. Most other airlines and flight crews do in these situations.
11. @222275 We always want to take the best care of our customers, and appreciate your feedback.
12. @AmericanAir That’s not according to the @135450 but if you want to make it about passengers having special needs instead of you ensuring their wellbeing we can do it that way too... https://t.co/rSgd8u81gN
13. @AmericanAir 2223 they have been providing updates on board (the pilot has been great) and I can understand if they didn’t think it would go on this long but to not provide any water or anything is unacceptable.
14. @222275 We always want to take the best care of our customers. Please share the flight number with us, so we can check on an update for you.
15. @AmericanAir you have passengers (including my senior aged mother) who have been sitting on an airplane for two hours and counting @129841 without offering anything to drink. This is abusive. Why aren’t they being given water??",SUPPORT,Onboard Services,ESCALATE,Support issue likely requires case-specific or human handling.
47,37738,2,"1. @124196 There will be more info provided soon. We're very sorry for the delay today.
2. Always nice to see the engine housing open 35 minutes after scheduled departure. Thumbs up @AmericanAir...on a plane that was here all night https://t.co/yx4vBxJDF1",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
48,205471,2,"1. @164690 We're glad the yummy offerings were within your dietary needs, Elizabeth. Enjoy!
2. @AmericanAir Loved the #Flagship lounge at JFK. REALLY appreciated the gluten free selections.#celiac",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
49,411210,3,"1. @213079 We're sorry that you've been delayed. Please send us a DM when you reach your destination and we'll take a look.
2. @AmericanAir Thank you. I sure will.
3. @AmericanAir what’s the procedure when my flights been delayed five times? This is ridiculous. Paid extra for direct flight as well.",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
50,126949,4,"1. @144493 We're truly sorry we missed your visit with us, Shawn. Hope to see you again in the near future.
2. @AmericanAir No mention of holiday hours...weird considering flights are still going on https://t.co/jk7Qaxy12j
3. @144493 We have holiday hours for today. Are the hours posted there at the club?
4. @AmericanAir wtf, why is the admirals club at terminal C at DFW closed?? it's not 10:15...",SUPPORT,Other / General Support,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
51,420318,5,"1. @215187 We're working hard to get you on your way. Let us know when you arrive and we'll take a closer look at this.
2. @AmericanAir This is vague, in what way? I just received another notification of another 30 minute delay (4.5 hours now).
3. @215187 Our team at the airport will take great care of you.
4. @AmericanAir To clarify, I meant car service to take me from regional terminal to regular terminal. (F/C platinum pro paying customer here)
5. @215187 We're sorry for the delay, Nikki. We're not able to arrange a car service to meet you.",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
52,106562,6,"1. @139623 Our offer still stands to take a closer look into this for you, but we do need your cooperation in providing us the info we requested.
2. @AmericanAir Info has been supplied to you 3 times.  Keep playing the game, I can go on too
3. @139623 We need your name, record locator or AAdvantage number to further assist you.
4. @AmericanAir You have been supplied this info 3 times, quit stalling
5. @AmericanAir Guess what else @AmericanAir likes to avoid?!  They like to avoid locking down their food carts.  As we are landing in DFW, food cart flies down plane aisle and hits several passengers.  When asked about it, they don’t want to deal with it
6. Leaving work on a Monday like... 🏃💨✌️  #seeya https://t.co/Dep8oDQRHw",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
53,173777,2,"1. @153030 We apologize for the confusion and see that our team provided the best seat option. No customer was upgraded from the airport list
2. When @AmericanAir tries to publicly shame you https://t.co/Mo9qpxgHHp",SUPPORT,Seats & Upgrades,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
54,285823,4,"1. @184099 Most people count sheep at night, Kevin. We like your #NightShots better.
2. @AmericanAir Thanks. Keep a seat warm for me on Monday evening from ORD to LHR. ;)
3. @184099 We'll be sure to do that! Looking forward to seeing you again.
4. Was I bored at my hotel last night? With these views? Not at all. (@153717 A330 and @AmericanAir  787 both departing from ORD https://t.co/7zuoqod8r2",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
55,326798,4,"1. @193870 We have some options in place to make changes. You can read more about it here: https://t.co/kNkPUilgez
2. @AmericanAir No. You're an unethical company who will never have my service. You should probably have options for REFUNDS, you twats.
3. @AmericanAir That's some bullshit. You should be fucking ashamed. Dicks. #FlyDelta
4. Hearing that @AmericanAir is trying to profit off of a natural disaster by charging astronomical fees for changing flights to Puerto Rico...",SUPPORT,Refund & Compensation,ESCALATE,Support issue likely requires case-specific or human handling.
56,169856,2,"1. @155562 We're not able to see her tweets. Let us know if we can assist.
2. @8911 @AmericanAir  https://t.co/ERzSy3cBwR",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
57,18496,4,"1. @120114 Please have the customer reach out to us directly.
2. @AmericanAir Thank you for quick reply
3. @120115 @AmericanAir what’s up with her bags taking over two hours to claim ?
4. #مطار_الملك_خالد اربع رحلات في سير واحد .. ننتظر ساعتين علشان الشناط!!! .. الموظفون غير متعاونون ابدا https://t.co/cTc2G8jRgW",SUPPORT,Baggage,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
58,364934,4,"1. @202444 Our team is on it and we'll have you on your way just as quickly as we can.
2. @AmericanAir How come this doesn't happen on @JetBlue or @SouthwestAir ? I am a frequent flier, I know!
3. @202444 We're sorry for the delay, there was a prior delay that caused a domino effect. The flight's still scheduled to depart, currently at 4:20p.
4. @AmericanAir wtf. I'm stranded in the Bahamas. The 12:45 to Charlotte is cancelled and no one at @AmericanAir will make it right!",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
59,3103,16,"1. @116415 We always want everyone to be comfy. You can ask our crew about any available open seats.
2. @AmericanAir Oh god, we’re in ascent and this baby just went full Chucky. Happy Halloween?
3. @AmericanAir Like, any?
4. @AmericanAir Okay, well, I’ll start this conversation back up after I buy WiFi in the air. Cya in a little bit.
5. @AmericanAir Oh, wow. We are in ascent and this baby just went full Chucky. Happy Halloween?
6. @116415 You'd have to speak with our crew and ask what is available. It would need to be in the same cabin and in the same type of seat.
7. @AmericanAir I gotta admit, this baby has some commitment. #stillgoing
8. @AmericanAir #stillgoing
9. @AmericanAir Should have brought earplugs and ambien. #stillgoing
10. @116415 @AmericanAir jeez!
11. @116416 @AmericanAir The entire flight, dude.
12. @AmericanAir Bought a flight pass to tell you guys this baby is still Chucky possessed screaming. Only seats available in cabin are the ones around me.
13. @AmericanAir #blessed, I guess.
14. @AmericanAir Oh, my god, she’s been going for ten minutes.
15. @AmericanAir Like, this is really bad.
16. Yo @AmericanAir, I’m on flight 48 32C (DFW to Paris) and sitting next to THE loudest baby I’ve ever heard in my life. How about an upgrade?",SUPPORT,Onboard Services,ESCALATE,Support issue likely requires case-specific or human handling.
60,97808,3,"1. @137427 We have great snacks and food on our flights. Come share the sky with us!
2. @AmericanAir i'm already a snack without u
3. @AmericanAir i'm hungry",SUPPORT,Onboard Services,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
