customer_text,americanair_response,customer_tweet_id,response_tweet_id,predicted_intent
"Interacted with one of the rudest flight attendants on @AmericanAir flight 1305 from ORD to SLC. Be patient, she's only 4. #flydeltainstead","@117169 Oh my, we'd like to have more details about what happened. We always expect our team to treat our customers courteously and friendly.",6628,6625,Flight Disruption
@AmericanAir Will it be complimentary or charged the 25$ or however much it Is?,@117181 You'll get charged just like a normal checked bag and the charge amount depends on your ticket. Please DM your record locator so we can see.,6911,6913,Loyalty / AAdvantage
@AmericanAir I bought a carry on luggage that 24×14×9+2.5 EXP. What does the 2.5 EXP STAND FOR on my luggage? Will check in charge me 25?,@117181 Your carry-on bag is oversized by the dimensions you gave us. There will be a charge since you'll have to check it. https://t.co/AqqDo7qAE3.,6912,6910,Baggage
Kudos to the @AmericanAir pilot that had the smoothest landing I’ve experienced,@117187 That’s #fAAntastic to hear how smooth our pilot’s landing was. Please DM your record locator and we’ll properly recognize our crew. #AATeam,6930,6929,Other / General Support
@AmericanAir might be a good idea 2 have working intercoms on flights.Flight attendant literally sounds like adults talking on Charlie Brown,@117240 We want to make sure communication is crystal clear. Please DM your record locator so we can share your feedback.,7184,7182,Other / General Support
@AmericanAir I don't like the the new livery,@117544 We're sorry you feel that way. We appreciate your feedback.,8740,8739,Flight Disruption
@AmericanAir .. landed in Charlotte at 7:11 PM. It’s now 7:52 without any luggage.. or staff in baggage claim.. or belt movement. Hello? https://t.co/PFxh5m9JIl,@117545 We're sorry for the wait tonight. We'll have you bags out to you as soon as possible. https://t.co/vpkBeWiqTq,8742,8741,Baggage
".@AmericanAir Home, please",@117546 We're are almost there just one last leg of your trip and you'll be #homesweethome.,8744,8743,Booking & Payment
Fantastic job by the @AmericanAir staff at @117548 to get us on our way to the @79605 Championships! Thank you! https://t.co/JqpQe0f9gs,@117547 Thanks for the shout-out to PVD! We'd love to forward this on to our #AATeam. Please follow and DM your record locator.,8746,8745,Other / General Support
Taking off from CLT to DEN almost 2 hours late had to board a new plane bc the other @AmericanAir plane broke. I'm sick &amp; need to get home 😥,"@117549 Our apologies for the delay, Heather. You should be in the air shortly.",8748,8747,Flight Disruption
"AA1008 - awesome job guys. On time departure, great service, arrived early. Thank you @AmericanAir","@117693 We're thrilled you had the real American experience today, John! Thanks for your loyalty.",9448,9447,Other / General Support
"To be fair, I got much better service through twitter than I did previously over the phone. Thanks @comcastcares and @AmericanAir https://t.co/MmzxOrmMIR","@117694 We're glad we could help! We're here anytime, Curtis.",9451,9450,Loyalty / AAdvantage
@AmericanAir Any tips on how to relax on a long haul flight? #nervousflyer,"@117695 Wear comfy clothes, stretch prior to boarding and throughout the flight. Also, make sure you drink plenty of water.",9454,9456,Onboard Services
@AmericanAir Cheers!!! See you's in 12 hrs!!,@117695 We can't wait!,9457,9458,Flight Disruption
Flying @AmericanAir tomorrow to Vegas for @644 big 3.0!!!! Can't wait!,@117695 We're excited to have you on board! Thanks for letting us take you on this #AAdventure.,9455,9453,Check-in & Airport
@AmericanAir sucks!!!!!! So rude! Left my bag somewhere and they wouldn’t help at all! 🤦🏻‍♀️😠👎🏼 kept telling me they didn’t know why!,@117696 We'd like more info to see if we can help. Please DM your bag file number.,9460,9459,Baggage
Hey @AmericanAir! I got food poisoning from your inflight meal on Sunday. Just a heads up in case you want to look in to that. https://t.co/KgiWcryFNY,"@117697 Oh my, please DM your record locator and include your email &amp; mailing address. Lastly, provide as many details as possible.",9462,9461,Loyalty / AAdvantage
@AmericanAir screwed up. Now me and 12 other recruits are staying the night in Dallas ! Kinda excited,"@117698 We're sorry for the situation, but we're happy you're making the best of it, John. Please let us know if we can help.",9464,9463,Flight Disruption
@AmericanAir nice work letting your staff dress up for holoween!!! Love it! #ORD,@117839 We're glad you're enjoying some of our #AATeam's great costumes. Their treat is getting to serve our best customers.,9941,9940,Other / General Support
Holy shit. Just got free wifi on @AmericanAir. I guess you can have your cake and eat it too,"@117840 We know how important staying connected is, Kyle. Have a fantastic flight!",9943,9942,Onboard Services
@AmericanAir you should really mention that some exit row seats are smaller width! Paid xtra for the most uncomfortable seat I've ever had!,@117841 Width can vary just slightly throughout the cabin. Main Cabin Extra seats always have 4-6 inches of extra legroom.,9947,9945,Seats & Upgrades
"Never flying @AmericanAir again. They flight attendants were rude, and the extortion for carry-on baggage is ridiculous! So disappointed.","@117842 We're sorry for any rudeness. If you have a Basic Economy ticket, then only a personal item would be allowed on board.",9949,9948,Baggage
Continuamos aguardando de @AmericanAir una explicación por la agresión verbal q sufrió mi esposa por parte de una azafata de esta cia,@117843 A specialist is still carefully reviewing this. Someone will be in direct contact soon.,9951,9950,Flight Disruption
@AmericanAir Hi!  Can you please give me a phone number to call to check flight status?  Thank you!,@117844 Hi there! Our Reservations team can check on flights for you at 800-433-7300.,9953,9952,Flight Disruption
@Delta American Airlines extends that courtesy for EVERY flight from EVERY airport. Guess they spoiled me. Thank you @AmericanAir for ur patriotism,@117992 No problem at all. It’s a huge honor for us to support our troops.,10766,10765,Refund & Compensation
@AmericanAir @Delta @SouthwestAir @116450 12 year as EP with AA. Since they won’t address my concerns who’s interested in my loyalty? https://t.co/rix2Aoi20X,@118124 Please send the requested info via DM. We need your contact info (phone and email).,11191,11190,Other / General Support
@AmericanAir According to reservations when I spoke with them they said it was nothing that they could do smh,"@118402 If we can take a look, then please DM your record locator and details.",12152,12150,Other / General Support
"Can’t believe @AmericanAir used to be my favorite airline, it only takes one time to leave a bad taste in my mouth smh","@118402 We're sorry that this has been your experience, is there some way we can help?",12154,12153,Flight Disruption
@AmericanAir better give me a window seat tomorrow seen as it won’t let me check in online and I have a 7 hr flight and straight to work 😴,@118403 Please DM your record locator. We'll take a closer look for you.,12157,12155,Seats & Upgrades
One of several questioning loyalty to @AmericanAir after poor treatment by gate agent tonight. Flight 41 ORD to SFO.,"@118404 We'd like to forward this along, Mindy. Please DM your record locator.",12159,12158,Baggage
@AmericanAir If bags are designed by @825 to fit in @AmericanAir why don’t you let them on the flight?,@118405 Please DM your record locator. We'd like to forward this to the correct team.,12161,12160,Baggage
@AmericanAir @116462 I include them on my tweets. They don't respond. You need to dump @116462. They are reflecting badly on @AmericanAir,@118406 We're very sorry. We've forwarded it to our team that handles Wi-Fi.,12169,12172,Other / General Support
@AmericanAir @116462 Long-standing problem that AA Mgmt. seems unwilling to address. Screw your EP #RoadWarriors becoz we have no options. Just wait.,@118406 The experience of our most loyal customers is paramount. We're installing a new type of much faster Wi-Fi on much of our fleet.,12170,12173,Flight Disruption
@AmericanAir Really bad service Ron,"@118406 We're sorry if you had a bad experience with our team, Kay. Please let us know if we ca help in some way,",12174,12176,Other / General Support
"EP on @AmericanAir who continues to not be able to do work. ""Great is what you want to be?"" Sorry, missed by a long shot.",@118406 We'll make sure to let our team know about this. Our friends @116462 can also take a look.,12171,12168,Other / General Support
@AmericanAir Comment doesn’t address problematic comment made by flight attendant.,@118743 Please DM your record locator. We'd like to share this feedback with the Flight Service leadership team.,13300,13298,Check-in & Airport
@AmericanAir Problem is when you check the website compulsively and it’s not updated!,@118743 We understand that's important to update info quickly and we appreciate your feedback on this.,13302,13301,Other / General Support
"@AmericanAir Flght attndnt gives me, US born citizen, English lesson. AA said will record my complaint in system. Do better - train your staff! #stockreplies #microaggression",@118743 Gate information is shared on the website. Just input your flight number here: https://t.co/hSJ3SkyGEd.,13304,13303,Baggage
@AmericanAir is the biggest fucking joke. How are they still in business. @Delta do us all a favor and teach them how to treat customers,@118744 Our offer to help via DM still stands. Please have her reach us there.,13307,13305,Onboard Services
@AmericanAir She says she can't wait to get her wings ❤️,@118745 We know we'll see her in the skies some day soon!,13309,13308,Flight Disruption
@118746 @118747 @118748 We even managed to find a real @AmericanAir lapel pin! She was disappointed we couldn't get AA wings though! https://t.co/4Ench23Pkn,@118745 She looks like a future pilot to us! We can't wait to have her in the captain's chair.,13312,13311,Loyalty / AAdvantage
@AmericanAir amazing picture of our countries flagship carriers jets!!! https://t.co/tHTaqRJEbJ,"@118749 It is indeed and we're so proud! By the way, our team in ORD loves you too, Matt. #AAfamily",13316,13315,Seats & Upgrades
Hmmm @AmericanAir B747 spotted during World Series ad. #tbt #wow,@118750 She's a beauty! That's a major throwback.,13318,13317,Flight Disruption
@AmericanAir acá un te serbice sucia. Same price but one baggage less. Bogotá airport staff are rude and make a real mess,@118751 Please let us know if we can help in some way.,13320,13319,Baggage
On my way to #NAPABA17 and received great service from Cynthia and Diane on #AA1816 @AmericanAir - thank you! #executiveplatinum https://t.co/MPcFTiM7bd,@118753 Thanks for your kind words for Cynthia and Diane! We'll be sure to forward these along to their #AATeam.,13323,13322,Other / General Support
HAPPY HALLOWEEN!!!!! @AmericanAir https://t.co/kHH0Je6frQ,@118855 What great costumes! Thanks for this fantastic pic.,13647,13646,Loyalty / AAdvantage
hey @AmericanAir! i just matched my EXP status to @AlaskaAir MVP 75k. byeeeee!!!! #worstdomesticairline #idontflyaa,@118856 We hope you'll consider staying loyal with us.,13650,13648,Loyalty / AAdvantage
@AmericanAir Help me surprise my 93 year old grandma for her birthday this weekend? All I need are my change fees waived! 🙏,@118857 Please DM your record locator and let us know what you'd like to change.,13653,13652,Accessibility
@AmericanAir My husband with our 1yr baby was refused a blanket cuz it was for first class only on a red eye flight #willneverhavemymoney,@118858 On domestic flights blankets are only offered in First Class. We love traveling families and are sorry for any rudeness.,13656,13655,Onboard Services
@AmericanAir Brilliant photo.,"@119085 Thanks, Daniel. We've got a great #WorldSeries going on!",14423,14422,Flight Disruption
Really @AmericanAir I can't even send or receive email via @116462 WiFi services??? This is insane. I demand my $$$ back for past 3 months,@118406 Refunds would have to be handled by the @116462 team. We're again very sorry for this experience.,14439,14438,Refund & Compensation
@AmericanAir Could I just dm you my ticket? Lol.,"@119245 You can DM your ticket number, record locator or full name and origin city.",14956,14954,Refund & Compensation
"@AmericanAir Hi there! Since I have your attention, could you tell corporate for me that Pilar and Jaimie atAdmirals Club T2 SFO are AMAZING. Thanks!","@119245 We're more than happy to do that, Myra. Please DM your record locator and we'll share your awesome kudos. #AATeam",14958,14957,Onboard Services
Hey hey hey! ⚾️ #WorldSeries @AmericanAir https://t.co/LeV38WtFPZ,@119245 That's probably the best way to watch the #WorldSeries in our Club. #Cheers,14960,14959,Loyalty / AAdvantage
Pleasant experiences with domestic air travel are vanishingly rare. I usually fly @AmericanAir but tried @SouthwestAir —&gt; it was great. Thx,@119246 We want all your travels to be pleasant with us. Please let us know what we can do to help.,14962,14961,Onboard Services
@AmericanAir flight people at the gate or not communicating to the gate area passengers,"@119479 It looks like there's a maintenance delay and we've an estimated departure time of 10:40p. We'll get you in the air soon, Bennett.",15776,15777,Flight Disruption
@AmericanAir Great thank you. I had a GREAT flight.,@119479 We love hearing this and look forward to welcoming you on board again soon.,15778,15779,Seats & Upgrades
Thanks @AmericanAir for putting us all on 2 broken planes. #stranded,"@119479 We're very sorry for this experience. If we can help with an update, then please share your flight number.",15775,15773,Check-in & Airport
My flight to MIA next week is on the 1st day @AmericanAir is offering a new pre-order fruit &amp; cheese plate option in F… will try it &amp; see 🤔,@119480 Let us know what you think! We're excited to have you on board.,15781,15780,Flight Disruption
@AmericanAir Yes. Refund my plane ticket😡 with your racist ass workers,@119481 We don't tolerate discrimination of any kind. Please DM your record locator and contact details (phone and email).,15783,15785,Refund & Compensation
@AmericanAir And I won’t be flying with your air lines AGAIN -a angry customer😡,@119481 We'll respond shortly via DM.,15786,15788,Other / General Support
I hate @AmericanAir,@119481 Is there some way we can help?,15784,15782,Flight Disruption
@AmericanAir You increased the price of two near-empty flights while I was paying. Seriously? Is this even legal? Platinum status means nada https://t.co/gkbOFbmNaI,@119482 Prices can change very quickly. They're based on availability.,15791,15789,Loyalty / AAdvantage
@AmericanAir my dad bought me a ticket and i have no idea if i can bring a carry-on with my personal item... can you help?!,"@119483 Absolutely, please DM your 6 letter record locator and we'll let you know.",15793,15792,Booking & Payment
"fuck @AmericanAir $2,200 for a one way first class ticket n ur shit chairs don’t recline back nor foot rest raise up! Food was awful! 👎🏿☹️😤","@119485 We'd like to make sure this is fixed, please DM your record locator. Also, did you let our crew know?",15799,15798,Onboard Services
@AmericanAir Do I need to check in for my Qantas leg separately?,@119486 You shouldn't need to. Let our airport team know if you need assistance on the day of departure.,15802,15804,Other / General Support
"@AmericanAir if I booked through Qantas for a trip to SYD but first leg to SFO is American Air, which confirmation# do I use to check in?",@119486 You'll use our 6 letter record locator since the first leg of your trip is with us.,15803,15801,Refund & Compensation
Quick someone get me a flight from Atlanta to LAX for game 7 @Delta @SouthwestAir @AmericanAir @116450,@119657 We're ready to go with you. Please give us a call at 800-433-7300 and we'll find you the lowest fare available.,16566,16565,Onboard Services
"@AmericanAir awful service, more than 1 hour delay due to logbook maintenance issues. Where is preventive maintenance?",@119658 We do many checks pre and post departure. Please share your flight number if we can provide an update.,16570,16568,Flight Disruption
Wish I could sleep but I’m having to wait for @AmericanAir to delivery my delayed baggage. I paid $25 to have them leave my luggage behind.😡,@119753 Our apologies for the delay. We know that waiting is no fun and we appreciate your patience.,17017,17016,Flight Disruption
Hey @AmericanAir I know how you can make that 24 hr delay up to me... #game7 tix??? @117118,"@119883 We're sorry for your delay. We can take a closer look at the situation, please DM your record locator.",17524,17522,Loyalty / AAdvantage
"@AmericanAir I've been waiting for three days now regarding a reimbursement because of your poor treatment towards me, a paying customer, after you cancelled my flight and I had to pay for a hotel room in a city that had nothing to do with my final destination",@119884 We can take a closer look. Please DM your record locator and details.,17527,17525,Flight Disruption
You want something #spooky today? Fly @americanair because it's a #nightmare,@119885 We're sorry that's been your experience. Please let us know if we can help in some way.,17529,17528,Other / General Support
@AmericanAir thanks for making those of us that gate checked our bags getting off a plane at 1am stand around baggage in #atl,@119931 Sorry for the wait Carlye. We're working hard on getting your bag out to you.,17747,17745,Baggage
"My @AmericanAir travel nightmare. Oct 31 to Nov 1, 2017

“Departs 8:20pm”
“Status Now 12:45am” https://t.co/xd88RF9fDC","@119992 Sorry for the delay, Erik. We'll have you in the air as soon as possible.",17988,17987,Loyalty / AAdvantage
@AmericanAir look what I came across at the tokyo film festival. https://t.co/52l5IBCsbv,"@119993 How cool, Brandon! We hope to see you on board soon.",17991,17990,Flight Disruption
@120115 @AmericanAir what’s up with her bags taking over two hours to claim ?,@120114 Please have the customer reach out to us directly.,18495,18493,Baggage
"@AmericanAir She worked first class.  Blonde hair, shoulder length.  Prob late 40s.",@120197 Thanks for the info David. We'll pass this on to our team so she gets the recognition she deserves.,18784,18786,Onboard Services
@AmericanAir Flight 254 from Maui to LAX.  First class (seating and service).,@120197 Do you have a description of the crewmember?,18785,18783,Other / General Support
Flight attendant on @AmericanAir helped walk an elderly lady 2 the lavatory.  I wish I would’ve asked the FA’s name. She deserves kudos.,@120197 We've got the best in the business and our #AATeam loves taking care of everyone! Thanks for letting us know how great she is.,18788,18787,Other / General Support
